Most GWWC-Aligned Users
ezraklein (18622869): 0.05400746911806952
mims (1769191): 0.047156521094387185
JonHaidt (106204123): 0.04640547736782046
sid_coelho (519209521): 0.04554397726444655
NickKristof (17004618): 0.04426609300016548
jheil (14251225): 0.040354731104059884
tferriss (11740902): 0.03915185641386591
justinsuntron (902839045356744704): 0.0379746835443038
jbarro (16244449): 0.037929534580252285
yayitsrob (2400631): 0.037328264062905035
PreetBharara (834081571493785600): 0.03732477622023307
jack (12): 0.03730909090909091
gadyepstein (24674124): 0.03584833397165837
jdickerson (4119741): 0.035450888367415355
NateSilver538 (16017475): 0.03496240601503759
ReformedBroker (22522178): 0.03359314107560405
JeffDean (911297187664949248): 0.03345422248538228
karaswisher (5763262): 0.03330945558739255
jonfavs (130496027): 0.03277931671283472
timoreilly (2384071): 0.032509638976515945
megynkelly (110445334): 0.03239245026356062
chrislhayes (4207961): 0.0319827424498218
eosnos (23030211): 0.0317432479831638
waitbutwhy (1282121312): 0.031475541299117886
cdixon (2529971): 0.031202176500595136

